IP地址,国家代码,地点,网络,邮政编码,大致坐标*,精度半径(km),互联网服务供应商,组织
60.210.145.7,中国,"潍坊,",60.210.128.0/19,,"36.71?,",1000,中国联通,中国联通
,,"山东,",,,119.1038,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.43.103.54,中国,"咸阳,",36.43.96.0/19,,"34.334?,",500,中国电信,中国电信
,,"陕西,",,,108.7042,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.227.10.141,中国,"重庆,",183.227.8.0/21,,"29.5689?,",1000,中国移动,中国移动
,,"重庆,",,,106.5577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.227.84.169,中国,"涪陵,",183.227.80.0/21,,"29.7092?,",1000,中国移动,中国移动
,,"重庆,",,,107.4018,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
27.47.0.62,中国,"广州,",27.47.0.0/22,,"23.1181?,",500,中国联通,中国联通广州
,,"广东省,",,,113.2539,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.43.99.104,中国,"咸阳,",36.43.96.0/19,,"34.334?,",500,中国电信,中国电信
,,"陕西,",,,108.7042,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
119.62.135.178,中国,"上海,",119.62.128.0/17,,"31.2222?,",1000,中国联通,中国联通
,,"上海,",,,121.4581,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
27.47.33.106,中国,"广州,",27.47.33.0/25,,"23.1181?,",100,中国联通,中国联通广州
,,"广东省,",,,113.2539,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
60.218.234.12,中国,"大庆,",60.218.128.0/17,,"46.5851?,",1000,中国联通,中国联通
,,"黑龙江,",,,125.0044,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
124.88.140.161,中国,"新疆维吾尔自治区,",124.88.128.0/17,,"43.8006?,",1000,中国联通,中国联通
,,"中国,",,,87.6012,,,
,,亚洲,,,,,,
183.253.161.68,中国,"南平,",183.253.161.0/24,,"26.6464?,",1000,中国移动,中国移动
,,"福建,",,,118.1796,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
1.87.178.169,中国,"咸阳,",1.87.160.0/19,,"34.334?,",1000,中国电信,中国电信
,,"陕西,",,,108.7042,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
124.116.254.231,中国,"宝鸡市,",124.116.192.0/18,,"34.3725?,",1000,中国电信,中国电信
,,"陕西,",,,107.1613,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.229.129.222,中国,"重庆,",183.229.128.0/20,,"29.5689?,",500,中国移动,中国移动
,,"重庆,",,,106.5577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
223.91.105.174,中国,"南阳,",223.91.104.0/21,,"32.9879?,",1000,中国移动,河南移动通信有限公司
,,"河南,",,,112.5376,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
1.183.249.32,中国,中国、,1.183.192.0/18,,"34.7732?,",1000,中国电信,中国电信
,,亚洲,,,113.722,,,
116.28.187.254,中国,"茂名,",116.28.184.0/21,,"21.6709?,",200,中国电信,中国电信
,,"广东,",,,110.9028,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
42.248.3.140,中国,"锦州,",42.248.0.0/19,,"41.1014?,",1000,中国电信,中国电信
,,"辽宁,",,,121.1399,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
223.89.221.15,中国,"商丘,",223.89.220.0/22,,"34.4515?,",5,中国移动,河南移动通信有限公司
,,"河南,",,,115.6479,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.183.16.64,中国,中国、,36.176.0.0/13,,"34.7732?,",1000,中国移动,中国移动
,,亚洲,,,113.722,,,
112.45.194.159,中国,"泸州,",112.45.192.0/19,,"28.8864?,",1000,中国移动,中国移动
,,"四川,",,,105.4268,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
113.134.38.242,中国,"西安,",113.134.32.0/19,,"34.3287?,",20,中国电信,中国电信
,,"陕西,",,,109.0337,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
124.116.251.181,中国,"宝鸡市,",124.116.192.0/18,,"34.3725?,",1000,中国电信,中国电信
,,"陕西,",,,107.1613,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.46.110.80,中国,"渭南,",36.46.96.0/20,,"34.5025?,",500,中国电信,中国电信
,,"陕西,",,,109.5145,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
60.7.157.13,中国,"秦皇岛,",60.7.128.0/19,,"39.9357?,",500,中国联通,中国联通
,,"河北,",,,119.5884,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.228.191.209,中国,"重庆,",183.228.176.0/20,,"29.5689?,",1000,中国移动,中国移动
,,"重庆,",,,106.5577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.228.23.151,中国,"重庆,",183.228.16.0/20,,"29.5689?,",1000,中国移动,中国移动
,,"重庆,",,,106.5577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
