IP地址,国家代码,地点,网络,邮政编码,大致坐标*,精度半径(km),互联网服务供应商,组织
117.150.209.107,中国,"仙桃,",117.150.208.0/22,,"30.3687?,",500,中国移动,中国移动
,,"湖北,",,,113.4425,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.41.83.136,中国,"深圳,",36.41.80.0/20,,"22.5559?,",1000,中国电信,中国电信
,,"广东,",,,114.0577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
61.185.148.23,中国,"西安,",61.185.144.0/21,,"34.3287?,",500,中国电信,中国电信
,,"陕西,",,,109.0337,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.41.83.255,中国,"深圳,",36.41.80.0/20,,"22.5559?,",1000,中国电信,中国电信
,,"广东,",,,114.0577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.41.83.198,中国,"深圳,",36.41.80.0/20,,"22.5559?,",1000,中国电信,中国电信
,,"广东,",,,114.0577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
119.39.60.69,中国,"长沙,",119.39.32.0/19,,"28.2014?,",500,中国联通,中国联通
,,"湖南,",,,112.9611,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
,,,,,,,,
124.88.113.32,中国,"乌鲁木齐,",124.88.96.0/19,,"43.8006?,",1000,中国联通,中国联通
,,"新疆维吾尔自治区,",,,87.6012,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.50.99.54,中国,"湛江,",183.50.99.0/24,,"21.2339?,",200,中国电信,中国电信
,,"广东,",,,110.3875,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
113.133.97.85,中国,"广州,",113.133.64.0/18,,"23.1181?,",1000,中国电信,中国电信
,,"广东省,",,,113.2539,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
58.16.217.192,中国,"六盘水,",58.16.192.0/19,,"26.59?,",500,中国联通,中国联通
,,"贵州,",,,104.8311,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
220.163.210.115,中国,"云南,",220.163.192.0/19,,"25.0088?,",1000,中国电信,中国电信
,,"中国,",,,102.6513,,,
,,亚洲,,,,,,
61.140.193.183,中国,"广州,",61.140.192.0/21,,"23.1181?,",200,中国电信,中国电信
,,"广东省,",,,113.2539,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
39.146.81.98,中国,中国、,39.146.64.0/18,,"34.7732?,",1000,中国移动,中国移动
,,亚洲,,,113.722,,,
36.157.170.113,中国,张家界，,36.157.168.0/22,,"29.1256?,",500,中国移动,中国移动
,,湖南，,,,110.4726,,,
,,中国，,,,,,,
,,亚洲,,,,,,
183.44.238.161,中国,"郑州,",183.44.236.0/22,,"34.7599?,",500,中国电信,中国电信
,,"河南,",,,113.6459,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.43.98.90,中国,"咸阳,",36.43.96.0/19,,"34.334?,",500,中国电信,中国电信
,,"陕西,",,,108.7042,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
124.116.251.197,中国,"宝鸡市,",124.116.192.0/18,,"34.3725?,",1000,中国电信,中国电信
,,"陕西,",,,107.1613,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
36.46.106.96,中国,"渭南,",36.46.96.0/20,,"34.5025?,",500,中国电信,中国电信
,,"陕西,",,,109.5145,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
175.5.136.18,中国,"长沙,",175.5.128.0/20,,"28.2014?,",200,中国电信,中国电信
,,"湖南,",,,112.9611,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
223.97.157.136,中国,寿光，,223.97.144.0/20,,"36.8768?,",1000,中国移动,中国移动山东
,,山东，,,,118.7375,,,
,,中国，,,,,,,
,,亚洲,,,,,,
36.41.80.107,中国,"深圳,",36.41.80.0/20,,"22.5559?,",1000,中国电信,中国电信
,,"广东,",,,114.0577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
42.93.142.9,中国,中国、,42.93.128.0/18,,"34.7732?,",1000,中国电信,中国电信
,,亚洲,,,113.722,,,
223.97.175.58,中国,"潍坊,",223.97.168.0/21,,"36.71?,",500,中国移动,中国移动山东
,,"山东,",,,119.1038,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
113.121.222.197,中国,"德州,",113.121.220.0/22,,"37.4454?,",100,中国电信,中国电信
,,"山东,",,,116.3429,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.227.51.209,中国,"重庆,",183.227.48.0/21,,"29.5689?,",1000,中国移动,中国移动
,,"重庆,",,,106.5577,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
223.155.33.190,中国,"邵阳,",223.155.32.0/19,,"27.2416?,",500,中国电信,中国电信
,,"湖南,",,,111.4656,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
42.234.108.40,中国,"南阳,",42.234.96.0/19,,"32.9879?,",500,中国联通,中国联通
,,"河南,",,,112.5376,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
61.146.1.48,中国,"湛江,",61.146.0.0/19,,"21.2339?,",50,中国电信,中国电信
,,"广东,",,,110.3875,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
183.50.99.172,中国,"湛江,",183.50.99.0/24,,"21.2339?,",200,中国电信,中国电信
,,"广东,",,,110.3875,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
221.218.195.213,中国,"北京,",221.218.192.0/20,,"39.911?,",100,中国联通,中国联通
,,"北京,",,,116.395,,,
,,"中国,",,,,,,
,,亚洲,,,,,,
